config,s_star_min,s_star_max,s_star_range,E_tau_min,E_tau_max,E_tau_ratio
p005_u080,5,9,4,116.51511167173854,16801.010038158805,144.1959742139954
p010_u085,34,34,0,24.892527333910284,180.9592993242631,7.269623405324059
p015_u080,37,40,3,17.098132223690598,95.11855896003856,5.563096466656485
