K_f_over_K_p,K_f,K_p,s_star,g_CBM,g_RTF,g_AB_finite,g_AB_best,T_star_finite,gain_vs_RTF_pct,gain_vs_AB_best_pct,E_tau
5,50.0,10.0,20,1.3385714191565647,1.3723062365879568,1.3723062365879588,1.3723062365879568,1683,2.458257241129273,2.458257241129273,36.43501622809632
10,100.0,10.0,38,2.4582436431558325,2.7446124731759136,2.7446124731759163,2.7446124731759136,1683,10.433852969002611,10.433852969002611,36.43501622809632
20,200.0,10.0,45,4.598695450118094,5.489224946351827,5.489224946351833,5.489224946351827,1683,16.223228323437255,16.223228323437255,36.43501622809632
50,500.0,10.0,49,10.951913122573515,13.723062365879569,13.723062365879581,13.723062365879569,1683,20.193373530066584,20.193373530066584,36.43501622809632
100,1000.0,10.0,49,21.52923131367322,27.446124731759138,27.44612473175916,27.446124731759138,1683,21.558210770787678,21.558210770787678,36.43501622809632
